SEXO_DESCRICAO;TOTAL_DISCENTES;TOTAL_ASSISTIDOS;% DO CORPO DISCENTE;% DOS ASSISTIDOS;DIFERENÇA (p.p.)
Masculino;16159;1453;51.78;55.1;3.32
Feminino;15051;1184;48.22;44.9;-3.32
