ID_CURSO,ID_SEXO,ID_RACA,ID_TURNO,IN_ACAO_AFIRMATIVA,IN_APOIO_SOCIAL,IN_APOIO_ALIMENTACAO,IN_APOIO_MORADIA,IN_APOIO_TRANSPORTE,IN_APOIO_MATERIAL_DIDATICO,IN_APOIO_BOLSA_PERMANENCIA,IN_APOIO_BOLSA_TRABALHO,TOTAL_ALUNOS,RECEBE_AUXILIO,IDPNA,TOTAL_IDPNA
13394,1,1,4,0,0,0,0,0,0,0,0,12,0,0,0
13394,2,3,3,1,1,1,0,0,0,0,0,4,1,0,0
13394,2,3,4,1,1,1,0,0,0,0,0,6,1,0,0
13394,1,2,4,0,0,0,0,0,0,0,0,2,0,0,0
13394,2,1,4,1,1,0,0,0,0,1,0,3,1,0,0
13394,1,3,3,1,1,1,0,0,0,0,0,2,1,0,0
13394,1,1,4,1,0,0,0,0,0,0,0,22,0,1,22
13394,2,1,4,1,0,0,0,0,0,0,0,46,0,1,46
13394,2,3,4,0,0,0,0,0,0,0,0,23,0,0,0
13394,2,1,3,1,0,0,0,0,0,0,0,3,0,1,3
13394,2,0,3,0,0,0,0,0,0,0,0,4,0,0,0
13394,2,3,4,0,1,1,0,0,0,0,0,2,1,0,0
13394,1,3,4,1,1,1,0,0,0,0,0,3,1,0,0
13394,2,3,4,1,1,0,0,0,0,1,0,3,1,0,0
13394,1,1,4,1,1,1,0,0,0,0,0,3,1,0,0
13394,2,0,4,0,0,0,0,0,0,0,0,8,0,0,0
13394,2,0,4,1,1,0,0,0,0,1,0,2,1,0,0
13394,2,0,4,1,0,0,0,0,0,0,0,7,0,1,7
13394,2,3,4,1,0,0,0,0,0,0,0,60,0,1,60
13394,1,2,4,1,0,0,0,0,0,0,0,12,0,1,12
13394,1,3,3,1,0,0,0,0,0,0,0,12,0,1,12
13394,1,3,4,1,0,0,0,0,0,0,0,28,0,1,28
13394,2,4,4,1,0,0,0,0,0,0,0,2,0,1,2
13394,1,1,3,0,0,0,0,0,0,0,0,7,0,0,0
13394,2,2,3,0,0,0,0,0,0,0,0,2,0,0,0
13394,1,3,4,1,1,1,1,0,0,0,0,2,1,0,0
13394,1,3,4,0,0,0,0,0,0,0,0,6,0,0,0
13394,1,3,4,0,1,1,0,0,0,0,0,2,1,0,0
13394,2,3,4,0,1,0,0,0,0,1,0,2,1,0,0
13394,2,1,3,0,0,0,0,0,0,0,0,21,0,0,0
13394,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0
13394,2,2,4,1,0,0,0,0,0,0,0,9,0,1,9
13394,1,1,4,1,1,0,0,0,0,1,0,2,1,0,0
13394,2,2,4,0,0,0,0,0,0,0,0,7,0,0,0
13394,2,1,4,0,0,0,0,0,0,0,0,45,0,0,0
13394,2,3,3,1,0,0,0,0,0,0,0,15,0,1,15
13394,2,3,3,0,0,0,0,0,0,0,0,22,0,0,0
13394,2,2,3,1,0,0,0,0,0,0,0,4,0,1,4
13394,2,3,4,1,1,0,0,0,0,0,1,3,1,0,0
13394,1,3,3,0,0,0,0,0,0,0,0,4,0,0,0
13394,1,1,4,0,1,0,0,0,0,1,0,2,1,0,0
13394,1,0,4,1,0,0,0,0,0,0,0,4,0,1,4
13394,1,1,3,1,0,0,0,0,0,0,0,2,0,1,2
13394,1,4,4,1,0,0,0,0,0,0,0,3,0,1,3
13395,2,1,1,0,0,0,0,0,0,0,0,19,0,0,0
13395,2,1,1,0,1,0,0,0,0,1,0,2,1,0,0
13395,1,2,1,0,0,0,0,0,0,0,0,6,0,0,0
13395,2,0,3,0,0,0,0,0,0,0,0,4,0,0,0
13395,1,1,1,0,0,0,0,0,0,0,0,25,0,0,0
13395,1,1,1,1,1,0,0,0,0,1,0,3,1,0,0
13395,1,3,1,1,1,1,0,0,0,0,0,6,1,0,0
13395,1,0,1,1,1,0,0,0,0,1,0,2,1,0,0
13395,2,2,3,1,0,0,0,0,0,0,0,15,0,1,15
13395,1,0,1,1,0,0,0,0,0,0,0,12,0,1,12
13395,2,0,1,1,0,0,0,0,0,0,0,7,0,1,7
13395,2,2,1,0,0,0,0,0,0,0,0,6,0,0,0
13395,1,3,1,1,0,0,0,0,0,0,0,56,0,1,56
13395,1,2,1,1,0,0,0,0,0,0,0,10,0,1,10
13395,1,1,3,1,1,1,0,0,0,0,0,3,1,0,0
13395,1,2,3,1,0,0,0,0,0,0,0,15,0,1,15
13395,1,5,3,1,0,0,0,0,0,0,0,2,0,1,2
13395,1,2,3,0,0,0,0,0,0,0,0,7,0,0,0
13395,1,3,3,0,0,0,0,0,0,0,0,26,0,0,0
13395,2,0,1,0,0,0,0,0,0,0,0,10,0,0,0
13395,1,1,3,0,0,0,0,0,0,0,0,20,0,0,0
13395,1,3,3,1,0,0,0,0,0,0,0,66,0,1,66
13395,2,3,1,1,0,0,0,0,0,0,0,56,0,1,56
13395,1,1,1,1,0,0,0,0,0,0,0,26,0,1,26
13395,1,0,3,1,0,0,0,0,0,0,0,10,0,1,10
13395,2,1,1,1,1,0,0,0,0,1,0,2,1,0,0
13395,2,1,1,1,0,0,0,0,0,0,0,42,0,1,42
13395,1,3,1,0,1,0,0,0,0,1,0,2,1,0,0
13395,2,3,3,0,0,0,0,0,0,0,0,29,0,0,0
13395,2,1,3,1,0,0,0,0,0,0,0,41,0,1,41
13395,2,3,1,0,0,0,0,0,0,0,0,10,0,0,0
13395,1,1,3,1,0,0,0,0,0,0,0,25,0,1,25
13395,2,1,3,0,0,0,0,0,0,0,0,38,0,0,0
13395,1,3,1,0,0,0,0,0,0,0,0,19,0,0,0
13395,2,2,1,1,0,0,0,0,0,0,0,4,0,1,4
13395,2,0,3,1,0,0,0,0,0,0,0,11,0,1,11
13395,2,3,1,1,1,1,0,0,0,0,0,6,1,0,0
13395,2,2,3,0,0,0,0,0,0,0,0,6,0,0,0
13395,1,0,1,0,0,0,0,0,0,0,0,9,0,0,0
13395,2,3,3,1,0,0,0,0,0,0,0,65,0,1,65
13395,1,4,3,1,0,0,0,0,0,0,0,3,0,1,3
13395,1,1,1,1,1,1,0,0,0,1,0,2,1,0,0
13396,1,0,3,0,0,0,0,0,0,0,0,20,0,0,0
13396,1,3,3,1,1,1,0,0,0,0,0,4,1,0,0
13396,1,4,3,1,0,0,0,0,0,0,0,5,0,1,5
13396,2,3,3,0,0,0,0,0,0,0,0,37,0,0,0
13396,2,1,3,1,0,0,0,0,0,0,0,23,0,1,23
13396,1,3,3,1,1,1,0,0,0,0,1,2,1,0,0
13396,1,3,3,0,0,0,0,0,0,0,0,48,0,0,0
13396,2,1,3,0,0,0,0,0,0,0,0,28,0,0,0
13396,1,3,3,0,1,0,0,0,0,0,1,4,1,0,0
13396,2,2,3,1,0,0,0,0,0,0,0,8,0,1,8
13396,1,5,3,0,0,0,0,0,0,0,0,2,0,0,0
13396,2,3,3,1,1,1,0,0,0,0,0,2,1,0,0
13396,1,3,3,1,0,0,0,0,0,0,0,104,0,1,104
13396,2,3,3,0,1,0,1,0,0,0,1,2,1,0,0
13396,1,1,3,1,0,0,0,0,0,0,0,47,0,1,47
13396,2,3,3,1,1,0,0,0,0,0,1,2,1,0,0
13396,2,2,3,0,0,0,0,0,0,0,0,6,0,0,0
13396,1,5,3,1,0,0,0,0,0,0,0,2,0,1,2
13396,2,0,3,0,1,0,0,0,0,0,1,2,1,0,0
13396,1,2,3,1,0,0,0,0,0,0,0,15,0,1,15
13396,2,0,3,0,0,0,0,0,0,0,0,11,0,0,0
13396,2,3,3,1,0,0,0,0,0,0,0,58,0,1,58
13396,1,1,3,0,0,0,0,0,0,0,0,51,0,0,0
13396,1,2,3,0,0,0,0,0,0,0,0,8,0,0,0
13396,1,1,3,1,1,1,0,0,0,0,0,2,1,0,0
13396,1,3,3,1,1,0,0,0,0,1,0,3,1,0,0
13396,1,3,3,1,1,0,0,0,0,0,1,4,1,0,0
13396,2,3,3,0,1,1,0,0,0,0,0,1,1,0,0
13396,2,0,3,1,0,0,0,0,0,0,0,14,0,1,14
13396,1,0,3,1,0,0,0,0,0,0,0,16,0,1,16
13396,2,1,3,0,1,0,0,0,0,1,0,2,1,0,0
13397,1,1,3,0,0,0,0,0,0,0,0,35,0,0,0
13397,2,1,3,1,0,0,0,0,0,0,0,64,0,1,64
