CO_CURSO;TP_SEXO;TP_COR_RACA;TP_TURNO;IN_ACAO_AFIRMATIVA;ID_AUXILIO;QT_BENEFICIARIOS
44485;1;3;2.0;0;5;2
44485;1;2;1.0;1;5;5
44485;1;2;2.0;1;5;3
44485;1;3;2.0;1;5;4
44485;1;3;2.0;1;5;2
74345;1;3;4.0;1;5;2
74345;2;3;4.0;1;5;2
74345;1;2;4.0;1;5;4
74345;1;2;4.0;1;5;2
74345;1;3;4.0;1;5;3
74345;2;3;4.0;1;5;2
74345;1;1;4.0;1;5;2
74345;2;2;4.0;1;5;2
80638;2;3;3.0;1;5;3
80638;1;3;3.0;1;5;2
80638;1;2;3.0;1;5;2
80638;2;2;1.0;1;5;2
86444;1;3;1.0;1;5;3
86446;1;3;1.0;1;5;3
86447;1;3;2.0;1;5;2
90042;2;3;4.0;1;5;2
90042;1;1;4.0;1;5;2
90042;1;5;4.0;1;5;3
90042;1;2;4.0;1;5;2
90047;2;3;3.0;1;5;2
90047;2;5;3.0;1;5;4
90047;1;1;3.0;1;5;2
90047;2;3;3.0;1;5;3
90047;1;3;3.0;1;5;2
90047;1;5;3.0;1;5;2
90047;2;2;3.0;1;5;5
90202;1;3;1.0;1;5;2
90202;2;2;3.0;1;5;3
90202;1;3;1.0;1;5;3
90202;1;2;3.0;1;5;2
90202;1;3;3.0;1;5;2
90202;2;2;1.0;1;5;2
90202;2;1;3.0;1;5;2
117438;2;5;4.0;0;5;23
117438;1;5;4.0;0;5;5
117438;2;5;4.0;1;5;25
117438;1;5;4.0;1;5;8
118004;2;5;4.0;0;5;59
118004;1;5;4.0;0;5;9
118005;1;5;4.0;0;5;15
118005;2;5;4.0;0;5;35
118006;1;5;4.0;0;5;16
118006;2;5;4.0;0;5;68
121481;2;3;4.0;1;5;3
121570;1;2;3.0;1;5;2
121570;1;3;3.0;1;5;4
121570;2;3;3.0;1;5;2
121570;2;3;3.0;1;5;3
121932;1;1;3.0;0;5;2
121932;2;3;3.0;1;5;2
121932;1;2;3.0;1;5;2
121932;1;2;3.0;1;5;2
121932;1;1;3.0;1;5;2
121932;1;2;3.0;1;5;3
121932;1;3;3.0;0;5;2
121932;1;2;3.0;1;5;2
121932;1;1;3.0;0;5;2
121932;1;1;3.0;1;5;3
121932;1;2;3.0;0;5;2
121932;1;3;3.0;1;5;2
121932;1;3;3.0;1;5;4
121932;1;3;3.0;1;5;4
121932;1;3;3.0;1;5;3
121934;2;3;3.0;1;5;2
122584;1;3;4.0;1;5;2
122584;1;3;4.0;1;5;3
122584;2;3;4.0;1;5;2
122584;1;2;4.0;1;5;2
122584;2;2;4.0;1;5;2
122584;2;3;4.0;1;5;2
122843;2;3;4.0;1;5;3
123425;1;2;4.0;1;5;2
123425;1;2;4.0;1;5;2
123425;1;1;4.0;0;5;2
123425;1;2;4.0;1;5;3
123425;2;2;4.0;1;5;3
123496;2;1;4.0;1;5;2
123496;1;3;4.0;1;5;2
123496;1;3;4.0;1;5;3
123496;2;3;4.0;1;5;2
123496;1;2;4.0;1;5;2
123496;1;1;4.0;0;5;2
123496;1;1;4.0;1;5;2
123496;2;3;4.0;1;5;3
123860;2;3;4.0;1;5;2
123860;2;1;4.0;1;5;3
123860;1;3;4.0;1;5;2
123860;2;3;4.0;1;5;3
314089;1;3;4.0;1;5;2
314089;1;3;4.0;1;5;2
314089;1;3;4.0;1;5;2
314089;2;3;4.0;1;5;2
314089;2;1;4.0;1;5;3
314112;1;5;3.0;1;5;2
314112;1;3;3.0;1;5;3
314112;1;2;1.0;1;5;2
314118;1;1;4.0;1;5;2
314118;1;3;4.0;1;5;2
314118;1;1;4.0;0;5;3
1084192;1;1;4.0;0;5;2
1084192;1;1;4.0;1;5;2
1084192;1;3;4.0;1;5;2
1084192;1;3;4.0;1;5;2
1111225;1;2;4.0;1;5;2
1111225;2;5;4.0;1;5;2
1111225;2;2;4.0;1;5;2
1111225;1;1;4.0;0;5;2
1111225;2;3;4.0;1;5;2
1113007;2;1;3.0;1;5;2
1113007;1;3;3.0;1;5;3
1113007;2;2;3.0;1;5;2
1113011;2;3;2.0;1;5;2
1113012;2;5;3.0;1;5;4
1113044;2;2;4.0;1;5;2
1120209;1;3;3.0;1;5;2
1120209;1;3;3.0;1;5;2
1131697;2;3;3.0;1;5;2
1131697;2;3;3.0;1;5;2
1135935;1;2;4.0;1;5;3
1135935;1;3;4.0;1;5;3
1135935;2;2;4.0;1;5;3
1135935;1;1;4.0;1;5;3
1135939;2;5;2.0;1;5;2
1135939;1;1;2.0;0;5;2
1135939;2;3;2.0;1;5;3
1135939;2;3;2.0;1;5;2
1135939;1;3;2.0;1;5;3
1151198;1;1;1.0;1;5;4
1151198;2;1;1.0;1;5;2
1151198;1;2;1.0;1;5;2
1151198;2;2;1.0;0;5;2
1151198;2;2;1.0;1;5;2
1152529;2;3;1.0;1;5;3
1178874;1;3;1.0;1;5;2
1178874;1;3;4.0;1;5;2
1188874;1;3;1.0;1;5;2
1188875;2;3;2.0;1;5;2
1188875;1;3;2.0;1;5;4
1188878;2;1;4.0;1;5;2
1188878;1;1;4.0;0;5;2
1188878;1;3;4.0;1;5;2
1188878;1;3;4.0;1;5;3
1188897;2;1;4.0;0;5;2
1293028;2;5;4.0;0;5;2
1293028;2;2;4.0;0;5;2
1293028;2;5;4.0;0;5;4
1293028;2;5;4.0;1;5;11
1293028;2;5;4.0;0;5;6
1293028;1;3;4.0;0;5;5
1293028;1;3;4.0;0;5;2
1293028;1;2;4.0;0;5;2
1293028;1;1;4.0;0;5;2
1295548;1;5;1.0;1;5;2
1300254;1;3;4.0;1;5;2
1300254;2;3;4.0;1;5;3
1300254;2;3;4.0;0;5;2
1300254;1;3;4.0;1;5;5
1300254;1;3;4.0;1;5;2
1304557;2;3;2.0;1;5;2
1304557;2;2;2.0;1;5;2
1313290;1;1;4.0;1;5;2
1313290;1;3;4.0;0;5;2
1313290;1;2;4.0;1;5;2
1313290;1;3;4.0;1;5;3
1313290;2;3;4.0;1;5;2
1313290;1;2;4.0;1;5;2
1313291;2;3;4.0;1;5;2
1313291;2;1;4.0;1;5;2
1313291;2;1;4.0;0;5;2
1314314;1;3;3.0;0;5;2
1314314;1;2;3.0;1;5;2
1314314;1;2;3.0;1;5;2
1315863;2;3;4.0;1;5;2
1315863;1;1;4.0;0;5;3
1315863;1;2;4.0;1;5;2
1315863;2;3;4.0;0;5;2
1315863;1;3;4.0;1;5;2
